item_id,criterion,sub_criteria,section,kind,status,text
,4,4.2.2,"Student Contract, Fee Collection & FPS (4.2) — zero tolerance",What to check,custom-draft,"**Fees only after the contract is executed (4.2.2).** GD4 4.2.2 requires that fees, **excluding application fees**, are collected only *after* the student contract has been executed. This is a date test, not a policy test: for each sampled student compare the receipt date against the contract execution date. A payment banked before the contract was signed is a finding even when the amount is within the cap and fully FPS-covered — the fee-cap check above is a separate test and passing it does not clear this one."
,4,4.2.1,"Student Contract, Fee Collection & FPS (4.2) — zero tolerance",What to check,custom-draft,"**Cooling-off is at least 7 working days (4.2.1).** GD4 4.2.1 fixes the minimum: the contract execution procedure must stipulate a cooling-off period of **at least 7 working days**. Check the figure in the contract template, and check it is *working* days rather than calendar days. Then test it against the refund register — a withdrawal inside the cooling-off window must be treated under the cooling-off terms, and one computed as an ordinary withdrawal instead is a finding (cross-reference 4.4.1)."
,4,4.2.1,"Student Contract, Fee Collection & FPS (4.2) — zero tolerance",What to check,custom-draft,"**The fee breakdown must match in the contract *and* the marketing collaterals (4.2.1).** GD4 4.2.1 requires a breakdown of all fees — inclusive of any **non-refundable fees, discounts/rebates and grants/funding given** — to be declared in the contract **and** in the marketing collaterals. Put the two side by side for a sampled course: the brochure or website fee table against the executed contract. A discount granted in the contract but absent from the published fee schedule, or a non-refundable component disclosed in only one of the two, is a 4.2.1 gap and usually also a 2.2 advertising-accuracy issue."
,4,4.2.1,"Student Contract, Fee Collection & FPS (4.2) — zero tolerance",What to check,custom-draft,"**A copy of the contract available to *prospective* students (4.2.1).** GD4 4.2.1 requires a copy of the student contract to be made available for prospective students, not only issued to enrolled ones. Check where a prospective student could actually obtain it — website download, counselling pack, prospectus — and whether the counselling record shows it was given. This is what makes the cooling-off period meaningful: a student who first sees the contract on the day they sign it has had no opportunity to consider it."
,4,4.4.1,"Transfer, Deferment, Withdrawal (4.3) and Refund (4.4)",What to check,custom-draft,"**The refund *computation* must be communicated, not just the policy (4.4.1).** GD4 4.4.1 makes communicating the computation of the refund amount a requirement in its own right, alongside the refund policy. For each sampled refund check the student was shown how the figure was arrived at — fees paid, the refundable percentage applied, non-refundable items deducted, the resulting sum — in a letter, statement or signed calculation sheet. A refund paid at the correct amount and within the statutory timeline, with no record that the student was ever shown the workings, is still a 4.4.1 gap."
,4,4.3.1,"Transfer, Deferment, Withdrawal (4.3) and Refund (4.4)",What to check,custom-draft,"**ICA must be told when a Student's Pass holder's status changes (4.3.1).** GD4 4.3.1 requires the transfer, deferment and withdrawal procedures to include informing the Immigration & Checkpoints Authority (ICA) of any change to the status of the Student's Pass, where applicable. Check the procedure says so, and for each sampled international-student case check there is an actual ICA notification record with its date. While in these files, test the other two mandated limbs: a maximum processing time of **not more than 4 weeks** from the student's request to informing them of the outcome **in writing**, and the parent's or legal guardian's **written** consent where the student is under 18."
,4,4.6.1,"Support, Conduct & Attendance (4.5, 4.6)",What to check,custom-draft,"**Attendance must cover every learning mode (4.6.1).** GD4 4.6.1 requires the attendance taking and monitoring system to cover **all applicable learning modes — classroom-based learning, synchronous e-learning and asynchronous e-learning**. Establish which modes the PEI actually runs, then check the system captures each one. Asynchronous e-learning is the mode usually missing: it needs an engagement proxy such as LMS access logs, activity completion or submission timestamps, not a class register. A course delivered partly online with attendance recorded only for the face-to-face sessions has an unmonitored blind spot for the rest of the course."
,4,4.5.1,"Support, Conduct & Attendance (4.5, 4.6)",What to check,custom-draft,"**Education and career guidance / employability skills (4.5.1).** GD4 4.5.1 requires programmes and strategies to develop and promote students' education and career guidance and/or employability skills — a distinct requirement from pastoral and academic support. Look for actual delivery: career talks, employer engagement, CV and interview workshops, industry attachments, alumni or progression advising, with attendance records and an evaluation. A support-services list that names career guidance with no programme behind it is Approach only, and it is also the input to the graduate-employment outcomes in Criterion 7."
,4,4.5.1,"Support, Conduct & Attendance (4.5, 4.6)",What to check,custom-draft,"**Students under 18 need parent/guardian collaboration (4.5.1).** GD4 4.5.1 names close collaboration with the parent or legal guardian of students under 18 among the expected support services. First establish whether the PEI enrols any under-18 students at all. If it does, check there is a defined channel and real records: guardianship arrangements, progress and attendance communication to the parent, consent for activities, and a named contact. If it genuinely has none, say so and state the evidence you checked rather than leaving the requirement unaddressed. Cross-reference 4.3.1, which separately requires the guardian's written consent for a transfer, deferment or withdrawal."
,5,5.5.1,Student Assessment (5.5) — the technical heart,What to check,custom-draft,"**A code of conduct for invigilators, not just students (5.5.1).** GD4 5.5.1 requires the setting *and communicating* of a code of conduct for students **and invigilators** to ensure academic integrity, including how academic dishonesty is reported and managed. Check the invigilator half exists and was actually issued: an invigilator brief or handbook, and a record that the people invigilating each assessment received it. Exam rules printed on the cover of a paper do not discharge this — an invigilator who has never been briefed on what to do when they suspect cheating is the gap."
,5,5.5.1,Student Assessment (5.5) — the technical heart,What to check,custom-draft,"**Appointment of setting, vetting, marking and moderation personnel (5.5.1).** GD4 5.5.1 requires the appointment of *suitable personnel* for the setting and vetting of test instruments and for the marking and moderation of assessments. Look for named, documented appointments per assessment with the basis of suitability (subject qualification, currency), and check the roles are genuinely separated: the same individual appointed to set, vet, mark **and** moderate one assessment collapses the control entirely and is a finding, not a resourcing note. Where a course is run with an external partner, GD4 also expects the procedures to state which party is responsible for each of these roles — check that is written down rather than assumed."
,5,5.5.1,Student Assessment (5.5) — the technical heart,What to check,custom-draft,"**At least 7 working days to appeal, and results released in reasonable time (5.5.1).** GD4 5.5.1 requires the PEI, or its external academic partner, to allow **at least seven working days from the release of assessment results** for a student to submit an appeal for results or awards, and to release the appeal outcome within a reasonable time from the date of appeal. Check the stated window in the assessment policy and the student handbook, and where an appeal exists check the dates on the real case. A policy giving students five days, or an appeal that sat unanswered for months, are both findings even though an appeal procedure exists."
,5,5.5.1,Student Assessment (5.5) — the technical heart,What to check,custom-draft,"**Re-sitting and deferred sitting procedures (5.5.1).** GD4 5.5.1 names re-sitting and/or deferred sitting of assessments as part of the assessment policy and procedures. Check there is a stated procedure: who is eligible, how many attempts are allowed, any cap on the mark awarded on a re-sit, fees if any, and how a deferred sitting is approved and scheduled. Then sample a real case against it. Re-sits handled case by case at a lecturer's discretion with no written rule is the common gap, and it creates an equity risk between students."
,6,6.1.1,Internal Assessment (6.1),What to check,custom-draft,"**Internal assessment must use Criterion 7 outcomes to verify effectiveness (6.1.1).** GD4 6.1.1 requires comparative studies and/or benchmarks of Criterion 7 performance outcomes to be used to verify the effectiveness of the institution's systems and processes. Check the internal-assessment working papers actually reference outcome data — pass rates, attrition, satisfaction, employment — and not only document compliance. An internal audit that confirms procedures were followed while the outcomes those procedures exist to produce are flat or declining has not verified effectiveness, and that is a finding on 6.1.1 itself."
,6,6.2.1,Management Review (6.2),What to check,custom-draft,"**Market analysis and external partnerships are named inputs (6.2.1).** GD4 6.2.1 lists the management review's required coverage explicitly, and two of those inputs are routinely absent from PEI minutes: **market analysis** and **external partnerships, if applicable**. Check both are genuinely tabled — competitor, enrolment and sector analysis with a conclusion drawn, and a review of each academic or recruitment partner's performance — not merely mentioned in passing. Where the PEI has no external partners the minutes should say so, rather than leave a mandated input silently missing. The full list also covers the strategic and department/unit plans with KPI target achievement, financial status and resource utilisation including manpower, internal assessment and external reviews with their CAPs, survey findings and feedback, and risk management: check each against the minutes and name the ones absent."
,7,7.1.1,Measurement of Outcomes (7.1),What to check,custom-draft,"**The mandated student and graduate indicators are named, not chosen (GD4 7.2.1).** GD4 names the student and graduate outcome indicators a PEI must track, so this is a checklist against the folder rather than a menu: **attrition rate**, **passing rate** and **quality of passes**, plus **graduation rate**, **graduate achievements**, and the **Graduate Employment Survey (GES) results for External Degree Programme graduates** where the PEI runs such programmes. Name any that are absent as a coverage gap on measurement of outcomes — an outcomes pack that reports enrolment and satisfaction but never states attrition or quality of passes has not measured what GD4 requires, however well the numbers it does report are presented."
,7,7.1.1,Measurement of Outcomes (7.1),What to check,custom-draft,"**The mandated service-quality indicators (GD4 7.2.2).** Check for the **overall student satisfaction rate**, **student satisfaction with the quality of teaching** stated separately rather than folded into the overall figure, and the **service-level agreement on resolving complaints** with actual performance measured against it. The SLA indicator is the most commonly missing: a complaints log with resolution dates is not the same as a stated target turnaround that is measured and reported as an outcome. Cross-reference 2.4.1 — the resolution timeframe promised there is the SLA that has to be measured here."
,7,7.1.1,Measurement of Outcomes (7.1),What to check,custom-draft,"**The mandated financial indicators (GD4 7.2.3).** Criterion 7 requires the **Liquidity Ratio** and the **Debt-Equity Ratio** to be tracked and trended as performance outcomes, not merely to be derivable from the accounts sitting in Criterion 1. Check both are stated as indicators with their formula, their value for each year in the trend, and a target or benchmark to judge them against. Audited financial statements in the Criterion 1 folder do not satisfy this: the requirement is that the PEI measures and monitors these two ratios itself."
,7,7.1.1,Measurement of Outcomes (7.1),What to check,custom-draft,"**The mandated people-development indicator (GD4 7.2.4).** Check **average training hours per staff**, and interrogate the denominator: GD4 expects part-time academic staff to be **included**. Recompute the figure from the training records and the staff list wherever you can — a healthy average produced by counting only full-time staff, or only non-academic staff, is a data-integrity finding as well as a coverage one. Cross-reference 2.1.2 for the underlying training records, and 2.1.1, which defines staff as minimally full-time, part-time, academic and non-academic."
